Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum,47.6683615,-122.39177949359151,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 13 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Hanako O’Leary: Izanami,Now through 1/28/2024 |  Frye Art Museum,Frye Art Museum,Frye Art Museum,Frye Art Museum,47.60719095,-122.32405377084555,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Gage Alumni Show,Now through 1/28/2024 |  Fountainhead Gallery,Fountainhead Gallery,Fountainhead Gallery,Fountainhead Gallery,28.1110963,-80.6740045,"Partly cloudy, with a low around 66. South southwest wind around 10 mph."
Genre Box,Now through 1/28/2024 |  Market Theatre,Market Theatre,Market Theatre,Market Theatre,52.9516629,-1.1450568781476997,Weather data not available
Bohemia,Now through 1/28/2024 |  The Triple Door,The Triple Door,The Triple Door,The Triple Door,47.6086439,-122.337685,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Alice in Shadowland,Now through 1/28/2024 |  12th Avenue Arts,12th Avenue Arts,12th Avenue Arts,12th Avenue Arts,41.70339675,-91.5874015,"Patchy fog. Cloudy, with a low around 31. Northwest wind around 10 mph."
Lee Ritenour and Dave Grusin,Now through 1/28/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,47.6148163,-122.339691,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Tacoma Home + Garden Show,Now through 1/28/2024 |  Tacoma Dome,Tacoma Dome,Tacoma Dome,Tacoma Dome,47.236887249999995,-122.42695224187412,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South southwest wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Annie Eastwood with Kimball and the Fugitives,1/28/2024 |  Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,47.6615049,-122.332319,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Black and Boujee Panel Discussion,1/28/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,47.6251322,-122.51453295865404,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 14 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
