Name,Date,Location,Type,Region
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum
Hanako O’Leary: Izanami,Now through 1/28/2024 |  Frye Art Museum,Frye Art Museum,Frye Art Museum,Frye Art Museum
Gage Alumni Show,Now through 1/28/2024 |  Fountainhead Gallery,Fountainhead Gallery,Fountainhead Gallery,Fountainhead Gallery
Genre Box,Now through 1/28/2024 |  Market Theatre,Market Theatre,Market Theatre,Market Theatre
Bohemia,Now through 1/28/2024 |  The Triple Door,The Triple Door,The Triple Door,The Triple Door
Alice in Shadowland,Now through 1/28/2024 |  12th Avenue Arts,12th Avenue Arts,12th Avenue Arts,12th Avenue Arts
Lee Ritenour and Dave Grusin,Now through 1/28/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley
Tacoma Home + Garden Show,Now through 1/28/2024 |  Tacoma Dome,Tacoma Dome,Tacoma Dome,Tacoma Dome
Annie Eastwood with Kimball and the Fugitives,1/28/2024 |  Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge
Black and Boujee Panel Discussion,1/28/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art
Celebrate Asia,1/28/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Django’s Birthday Concert with Ranger and the Re-Arrangers,1/28/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room
Family Day with Birds Connect Seattle,1/28/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum
Fossil Finders | Ice Ages,1/28/2024 |  Burke Museum,Burke Museum,Burke Museum,Burke Museum
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena
Tacoma Stars vs. San Diego Sockers,1/28/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center
Adira Sharkey,1/29/2024 |  Tractor Tavern,Tractor Tavern,Tractor Tavern,Tractor Tavern
"Car, The Garden",1/29/2024 |  The Crocodile,The Crocodile,The Crocodile,The Crocodile
Walla Walla Wine On Tour,1/29/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall
Cheryl Wheeler,1/30/2024 |  The Triple Door,The Triple Door,The Triple Door,The Triple Door
Giantish,1/30/2024 |  High Dive,High Dive,High Dive,High Dive
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center
A/political Rocks,Now through 1/31/2024 |  Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,Henry Art Gallery
Sophia Al-Maria,Now through 1/31/2024 |  Henry Art Gallery,Henry Art Gallery,Henry Art Gallery,Henry Art Gallery
Jahari Stampley,1/30/2024 through 1/31/2024 |  Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley,Dimitriou's Jazz Alley
FRAKTURED: Home of the Broken Beat,1/31/2024 |  High Dive,High Dive,High Dive,High Dive
G3- 25th Anniversary reunion,1/31/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre
JP Saxe,1/31/2024 |  The Showbox,The Showbox,The Showbox,The Showbox
Los Lobos,1/31/2024 |  The Triple Door,The Triple Door,The Triple Door,The Triple Door
The Daimonics,1/31/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room
BabyTron,2/1/2024 |  The Showbox,The Showbox,The Showbox,The Showbox
Battlestar Kalakala,2/1/2024 |  Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge,Sea Monster Lounge
Catalyzing Change with Akuyea Karen Vargas,2/1/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art
Exceptional Failures,2/1/2024 |  Tractor Tavern,Tractor Tavern,Tractor Tavern,Tractor Tavern
Jamila Woods,2/1/2024 |  Neumos,Neumos,Neumos,Neumos
Jazz is Dead: Blue Note 85,2/1/2024 |  The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,The Neptune Theatre
Michelle Cann,2/1/2024 |  Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts
Pakt,2/1/2024 |  Funhouse,Funhouse,Funhouse,Funhouse
Public Theatre,2/1/2024 |  Barboza,Barboza,Barboza,Barboza
American Flats Album Release,2/2/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room
Erik Walters,2/2/2024 |  Barboza,Barboza,Barboza,Barboza
Memoir,2/2/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
Nora En Pure,2/2/2024 |  Showbox SoDo,Showbox SoDo,Showbox SoDo,Showbox SoDo
Poolside,2/2/2024 |  The Showbox,The Showbox,The Showbox,The Showbox
Tacoma Stars vs. Monterrey Flash,2/2/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024 |  On The Boards,On The Boards,On The Boards,On The Boards
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall
All Will Suffer,2/3/2024 |  Funhouse,Funhouse,Funhouse,Funhouse
Banned & Beloved,2/3/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle
Cold War Kids – 20 Years Tour,2/3/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre
Mau P,2/3/2024 |  The Showbox,The Showbox,The Showbox,The Showbox
Oble,2/3/2024 |  Barboza,Barboza,Barboza,Barboza
